1-1 1JN.1.5
1-2 ROM.5.8
1-3 JHN.12.46
1-4 DEU.5.18
1-5 MRK.8.35
1-6 MAT.24.14
1-7 JHN.17.3
1-8 2SA.22.34
1-9 PSA.145.18
1-10 LEV.19.13
1-11 GEN.1.1
1-12 GEN.1.31
1-13 MAT.10.16
1-14 EPH.3.20-21
1-15 1PE.1.23
1-16 JHN.6.37
1-17 LUK.18.29-30
1-18 LEV.19.4
1-19 EXO.20.17
1-20 EPH.6.14-15
1-21 LUK.12.34
1-22 JHN.3.14-15
1-23 LUK.4.18-19
1-24 1SA.12.22
1-25 HEB.1.1-2
1-26 2TI.3.12-13
1-27 1PE.2.13-14
1-28 ACT.13.38-39
1-29 MRK.1.17
1-30 EXO.15.2
1-31 LUK.9.23
2-1 EPH.6.16
2-2 LUK.22.25-26
2-3 DEU.18.21-22
2-4 2SA.22.7
2-5 2SA.22.3
2-6 LEV.19.33-34
2-7 JHN.13.34-35
2-8 COL.4.5-6
2-9 1PE.3.15-16
2-10 2SA.22.4
2-11 ROM.8.28
2-12 1PE.2.24
2-13 MAT.6.16
2-14 REV.15.4
2-15 DEU.32.3
2-16 GAL.5.22-23
2-17 2SA.22.47
2-18 MAT.6.34
2-19 MAT.22.37-39
2-20 HEB.4.14
2-21 MAT.18.15
2-22 LUK.6.36
2-23 1CO.1.28-29
2-24 MAT.11.28
2-25 NUM.6.26
2-26 JHN.10.11
2-27 JHN.12.25
2-28 JOB.37.5
2-29 DEU.10.12-13
3-1 COL.3.8
3-2 MAT.19.29
3-3 2PE.1.16
3-4 COL.3.3-4
3-5 EPH.5.15-16
3-6 1PE.5.6
3-7 1CO.2.12
3-8 2SA.22.28
3-9 1PE.2.10
3-10 1PE.2.1
3-11 LUK.2.14
3-12 JHN.15.7-8
3-13 MAT.5.9
3-14 DEU.10.17-18
3-15 HEB.2.1
3-16 DEU.18.13
3-17 MAT.4.16
3-18 LUK.4.3-4
3-19 1PE.2.2-3
3-20 COL.1.13-14
3-21 MAT.24.35
3-22 1CH.29.17
3-23 MAT.15.10-11
3-24 GEN.50.19-20
3-25 JAS.4.10
3-26 MAT.6.9-10
3-27 PSA.24.1-2
3-28 DEU.5.9-10
3-29 LUK.4.8
3-30 JHN.4.13-14
3-31 LEV.20.7
4-1 MAT.20.27-28
4-2 1CO.13.1
4-3 HEB.10.24-25
4-4 GAL.1.10
4-5 1PE.2.11-12
4-6 1CO.13.4-5
4-7 HEB.12.28-29
4-8 DEU.5.12
4-9 PHP.3.20-21
4-10 DEU.8.5
4-11 PHP.4.19
4-12 LUK.10.2
4-13 1CH.16.23
4-14 1JN.4.11
4-15 LUK.9.22
4-16 LEV.19.32
4-17 LUK.6.37
4-18 LEV.19.2
4-19 JHN.10.10
4-20 EXO.14.13-14
4-21 REV.3.20
4-22 2TH.1.3
4-23 MAT.6.26
4-24 1PE.4.10
4-25 PSA.133.1
4-26 PHP.4.6-7
4-27 1TH.3.13
4-28 EPH.6.13
4-29 ROM.10.9
4-30 DEU.5.16
5-1 2SA.22.2
5-2 1CO.9.24
5-3 1CH.29.13
5-4 1PE.4.7
5-5 JHN.16.33
5-6 1PE.1.13
5-7 GEN.9.16
5-8 EXO.20.14
5-9 JHN.10.14-15
5-10 2CH.7.14
5-11 LUK.14.27
5-12 2SA.22.50
5-13 ROM.15.1
5-14 NUM.23.19
5-15 EXO.20.15
5-16 HEB.2.18
5-17 PHP.1.4-6
5-18 JAS.1.13-14
5-19 GAL.5.1
5-20 ACT.17.31
5-21 COL.2.8
5-22 MRK.10.29-30
5-23 1CO.16.13-14
5-24 DEU.10.20
5-25 COL.1.17-18
5-26 LUK.8.20-21
5-27 1TI.6.6-7
5-28 PHP.1.21
5-29 JHN.20.30-31
5-30 MAT.5.3
5-31 PSA.91.1
6-1 1CO.13.3
6-2 JHN.3.3
6-3 MRK.8.36
6-4 DEU.7.6
6-5 JHN.10.27-28
6-6 EPH.5.1-2
6-7 MAT.5.8
6-8 2TI.2.22
6-9 GEN.21.2
6-10 DEU.31.8
6-11 2PE.3.13
6-12 1JN.3.16
6-13 JHN.6.27
6-14 LEV.19.17
6-15 LUK.11.9-10
6-16 1PE.4.11
6-17 GAL.6.10
6-18 1PE.5.8-9
6-19 MAT.6.3-4
6-20 HEB.4.15
6-21 LUK.12.15
6-22 DEU.8.17-18
6-23 1CO.6.19-20
6-24 JHN.17.5
6-25 LUK.9.62
6-26 REV.22.12-13
6-27 PHP.2.14-15
6-28 LUK.6.21
6-29 1PE.4.9
6-30 1PE.1.14-16
7-1 MRK.13.31
7-2 LEV.19.3
7-3 COL.2.6-7
7-4 1SA.2.2
7-5 TIT.3.14
7-6 JHN.8.36
7-7 PSA.21.13
7-8 1CH.17.20
7-9 1JN.3.17
7-10 1TI.1.17
7-11 MAT.5.11-12
7-12 COL.1.19-20
7-13 PHP.3.13-14
7-14 1KI.8.27
7-15 1TH.2.13
7-16 JAS.2.1
7-17 REV.21.6
7-18 EPH.5.21
7-19 HEB.10.23
7-20 JAS.1.12
7-21 COL.3.16
7-22 ROM.8.38-39
7-23 REV.7.10
7-24 LUK.11.11-13
7-25 2SA.22.17
7-26 DEU.6.13
7-27 1PE.1.18-19
7-28 1CO.10.24
7-29 LUK.6.22
7-30 MAT.28.18-20
7-31 HEB.1.3
8-1 HEB.12.1-2
8-2 1CH.16.11
8-3 EXO.34.14
8-4 MAT.7.1-2
8-5 1JN.3.14
8-6 JAS.3.13
8-7 1JN.5.12
8-8 2PE.3.18
8-9 1CH.29.14
8-10 PHP.3.7-9
8-11 LUK.1.32-33
8-12 2TH.3.3
8-13 LEV.19.15
8-14 DEU.5.11
8-15 REV.7.17
8-16 MAT.24.12-13
8-17 MAT.25.40
8-18 EPH.4.1
8-19 EPH.4.29
8-20 PRO.3.11-12
8-21 COL.3.23-24
8-22 2SA.22.32
8-23 1CH.29.11
8-24 PHP.4.8
8-25 ROM.13.8
8-26 1CO.1.10
8-27 JAS.1.17
8-28 NUM.6.24
8-29 REV.1.8
8-30 1CH.16.29
8-31 1TH.4.16-17
9-1 PHP.4.12-13
9-2 3JN.1.11
9-3 MAT.6.13
9-4 ACT.10.34-35
9-5 REV.5.13
9-6 JAS.1.22
9-7 JHN.5.21
9-8 EPH.2.13
9-9 JAS.5.9
9-10 1JN.2.3
9-11 LUK.1.52-53
9-12 1PE.3.12
9-13 1JN.3.24
9-14 PSA.27.1
9-15 1PE.2.4-5
9-16 DEU.10.21
9-17 JOS.1.9
9-18 1KI.8.61
9-19 PSA.8.3-4
9-20 NUM.14.18
9-21 1CH.28.9
9-22 HEB.12.3
9-23 1JN.2.15
9-24 1CH.29.10
9-25 MAT.7.3
9-26 2TI.2.23-24
9-27 HEB.13.15-16
9-28 LUK.6.47-48
9-29 MAT.6.7-8
9-30 JHN.1.1
10-1 LEV.26.1
10-2 MAT.9.37-38
10-3 1JN.3.23
10-4 COL.3.1-2
10-5 EPH.4.22-24
10-6 1CH.16.10
10-7 MRK.10.45
10-8 LUK.12.22
10-9 NEH.8.2-3
10-10 DEU.11.16
10-11 PHP.2.3-4
10-12 PHP.2.9-11
10-13 PSA.89.1
10-14 MAT.5.18
10-15 MAT.24.4-5
10-16 MAT.16.27
10-17 REV.21.3
10-18 LUK.1.37
10-19 1CH.16.36
10-20 2CO.9.11
10-21 LUK.6.20
10-22 1CH.16.30
10-23 DEU.32.39
10-24 PHP.2.5
10-25 ROM.15.13
10-26 DEU.4.29
10-27 LUK.5.31-32
10-28 EPH.2.6-7
10-29 LUK.4.12
10-30 JER.9.23-24
10-31 PRO.15.1
11-1 MAT.6.21
11-2 GAL.6.8
11-3 LUK.1.50-51
11-4 PRO.3.5-6
11-5 1TH.4.7
11-6 HEB.9.27-28
11-7 REV.4.11
11-8 1PE.2.16
11-9 1JN.2.6
11-10 DEU.13.4
11-11 EZR.8.23
11-12 GAL.3.28
11-13 1JN.3.2
11-14 MAT.24.42
11-15 MAT.6.11-12
11-16 EPH.2.8-9
11-17 1TI.4.7-8
11-18 DEU.31.6
11-19 GEN.15.6
11-20 2PE.1.3
11-21 1CO.15.58
11-22 REV.5.12
11-23 LUK.3.21-22
11-24 1TH.5.14
11-25 MAT.6.5
11-26 COL.1.15-16
11-27 ROM.15.4
11-28 JHN.3.16
11-29 MAT.25.31-32
11-30 LEV.19.18
12-1 HEB.13.17
12-2 ACT.16.31
12-3 MAT.5.48
12-4 PSA.97.12
12-5 DEU.6.6-7
12-6 1CH.29.15
12-7 HEB.13.20-21
12-8 JHN.14.23
12-9 MAT.6.14-15
12-10 1CH.16.24
12-11 LUK.6.45
12-12 MAT.25.35
12-13 1CO.1.18
12-14 HEB.7.25
12-15 HEB.13.8
12-16 MAT.6.24
12-17 JAS.1.19-20
12-18 PHP.2.12-13
12-19 COL.3.12
12-20 1PE.1.22
12-21 HEB.10.36
12-22 MAT.5.22
12-23 PHP.2.1-2
12-24 LEV.19.14
12-25 MAT.1.23 C
12-26 JHN.1.12-13
12-27 MAT.6.2
12-28 HEB.6.12
12-29 1PE.4.14
12-30 COL.3.17
12-31 MAT.16.15-16
2020-4-10 1PE.3.18 F
2020-4-12 JHN.20.19-20 E
2020-12-25 MAT.1.21 C
2021-4-2 COL.2.13-15 F
2021-4-4 MAT.28.8-9 E
2021-12-25 LUK.2.6-7 C
